corridor_id,corridor_name,model_name,training_strategy,forecast_type,year,prediction,lower_bound,upper_bound
5,Seattle_to_Portland,Prophet,leave_last_year_out,holdout,2024,7444.3538418986645,7416.015546627408,7471.868035668656
5,Seattle_to_Portland,Prophet,leave_last_year_out,future,2025,7631.850848334756,7571.672185391186,7694.195833055917
5,Seattle_to_Portland,Prophet,leave_last_year_out,future,2026,7761.067230933614,7558.2075676995255,7963.806423549733
5,Seattle_to_Portland,Prophet,leave_last_year_out,future,2027,7890.283613532474,7472.434979602284,8284.153212338564
5,Seattle_to_Portland,Prophet,leave_last_year_out,future,2028,8019.499996131335,7402.960172328854,8672.006631705024
5,Seattle_to_Portland,Prophet,leave_last_year_out,future,2029,8147.211457306312,7262.326598152106,9118.5525224005
5,Seattle_to_Portland,Prophet,leave_last_year_out,future,2030,8276.427839905173,7118.060707714887,9544.509679745363
