corridor_id,corridor_name,model_name,training_strategy,forecast_type,year,prediction,lower_bound,upper_bound
5,Seattle_to_Portland,ARIMA,leave_last_year_out,holdout,2024,7536.150782999999,7193.716303984291,7878.5852620157075
5,Seattle_to_Portland,ARIMA,leave_last_year_out,future,2025,7597.153828999999,7278.580107057089,7915.727550942909
5,Seattle_to_Portland,ARIMA,leave_last_year_out,future,2026,7597.153828999999,7146.62255081266,8047.685107187338
5,Seattle_to_Portland,ARIMA,leave_last_year_out,future,2027,7597.153828999999,7045.367956638558,8148.93970136144
5,Seattle_to_Portland,ARIMA,leave_last_year_out,future,2028,7597.153828999999,6960.006385114179,8234.30127288582
5,Seattle_to_Portland,ARIMA,leave_last_year_out,future,2029,7597.153828999999,6884.801330890536,8309.506327109462
5,Seattle_to_Portland,ARIMA,leave_last_year_out,future,2030,7597.153828999999,6816.810764780581,8377.496893219417
