corridor_id,corridor_name,model_name,training_strategy,mape,rmse,mae,within_bts_band,pct_deviation_vs_bts
1,LA_to_Chicago,ARIMA,leave_last_year_out,0.22376916010060383,2.613766999999825,2.613766999999825,False,-26.501012726258338
1,LA_to_Chicago,Prophet,leave_last_year_out,2.788732892407195,32.57418494447984,32.57418494447984,False,-20.26140604722118
1,LA_to_Chicago,XGBoost,pooled_leave_last_year_out,0.13471183819738117,1.5735204843747397,1.5735204843747397,False,-27.84426678656919
2,Houston_to_Atlanta,ARIMA,leave_last_year_out,3.9492474004933316,1.2107500000000044,1.2107500000000044,False,-28.589879708634548
2,Houston_to_Atlanta,Prophet,leave_last_year_out,12.455789564376216,3.8186635795935935,3.8186635795935935,False,-40.90221971281211
2,Houston_to_Atlanta,XGBoost,pooled_leave_last_year_out,8.150735037892105,2.4988311560058634,2.4988311560058634,False,-27.83005857562129
3,NYC_to_Miami,ARIMA,leave_last_year_out,0.267161913422265,0.036431000000000324,0.036431000000000324,False,-24.651247550846445
3,NYC_to_Miami,Prophet,leave_last_year_out,2.1909102331475356,0.29875909212269747,0.29875909212269747,False,-19.023115302234668
3,NYC_to_Miami,XGBoost,pooled_leave_last_year_out,3.84770790449721,0.5246849929809532,0.5246849929809532,False,-20.423248789495062
4,Dallas_to_Memphis,ARIMA,leave_last_year_out,3.578058940166922,2.795390999999995,2.795390999999995,False,-38.24576209792974
4,Dallas_to_Memphis,Prophet,leave_last_year_out,2.1029840039051404,1.6429753271158063,1.6429753271158063,False,-25.168430759599943
4,Dallas_to_Memphis,XGBoost,pooled_leave_last_year_out,6.623779373070988,5.174887712890623,5.174887712890623,False,-40.099392222139954
5,Seattle_to_Portland,ARIMA,leave_last_year_out,0.8029723679825705,61.00304599999981,61.00304599999981,False,-12.296919059339274
5,Seattle_to_Portland,Prophet,leave_last_year_out,2.011279362516846,152.79998710133532,152.79998710133532,False,-4.455242439353628
5,Seattle_to_Portland,XGBoost,pooled_leave_last_year_out,0.8612204588084689,65.42824306249895,65.42824306249895,False,-12.090696325052498
