corridor_id,corridor_name,model_name,training_strategy,forecast_type,year,prediction,lower_bound,upper_bound
5,Seattle_to_Portland,XGBoost,pooled_leave_last_year_out,holdout,2024,7531.7255859375,6778.55302734375,8284.898144531251
5,Seattle_to_Portland,XGBoost,pooled_leave_last_year_out,future,2025,7593.80517578125,7290.05296875,7897.5573828125
5,Seattle_to_Portland,XGBoost,pooled_leave_last_year_out,future,2026,7593.80517578125,7290.05296875,7897.5573828125
5,Seattle_to_Portland,XGBoost,pooled_leave_last_year_out,future,2027,7598.1435546875,7294.2178125,7902.069296875
5,Seattle_to_Portland,XGBoost,pooled_leave_last_year_out,future,2028,7598.1435546875,7294.2178125,7902.069296875
5,Seattle_to_Portland,XGBoost,pooled_leave_last_year_out,future,2029,7615.017578125,7310.416875,7919.61828125
5,Seattle_to_Portland,XGBoost,pooled_leave_last_year_out,future,2030,7615.017578125,7310.416875,7919.61828125
