corridor_id,corridor_name,model_name,training_strategy,forecast_type,year,prediction,lower_bound,upper_bound
2,Houston_to_Atlanta,Prophet,leave_last_year_out,holdout,2024,26.83907642040641,26.243132870628934,27.507419700762576
2,Houston_to_Atlanta,Prophet,leave_last_year_out,future,2025,29.468647595454055,28.334717644413804,30.62321219425103
2,Houston_to_Atlanta,Prophet,leave_last_year_out,future,2026,28.646495841543672,27.490709035110513,29.760850611138945
2,Houston_to_Atlanta,Prophet,leave_last_year_out,future,2027,27.8243440876333,26.71464950325054,28.98175880075735
2,Houston_to_Atlanta,Prophet,leave_last_year_out,future,2028,27.002192333722903,25.89010672968644,28.08032472845757
2,Houston_to_Atlanta,Prophet,leave_last_year_out,future,2029,26.193967054448493,25.002158297570027,27.311111668588826
2,Houston_to_Atlanta,Prophet,leave_last_year_out,future,2030,25.371815300538096,24.167559092828657,26.41325678579741
